,estado,Unnamed: 0,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,AC,57684,0.0,1824,0.0,0.0,0.0,1757,134054120.0,17537066.0,36727,297115,151,0.0,0.0,0.0
1,AL,334932,0.0,4104,0.0,0.0,0.0,1757,507278264.0,43115612.0,57275,1022122,553,0.0,0.0,0.0
2,AM,80788,0.0,1976,0.0,0.0,0.0,1757,629978744.0,84165438.0,148986,2140540,340,0.0,0.0,0.0
3,AP,150100,0.0,2432,0.0,0.0,0.0,1757,128551112.0,23500507.0,33445,319006,112,0.0,0.0,0.0
4,BA,381140,0.0,4408,0.0,0.0,0.0,1757,2260705728.0,223722680.0,278606,4425019,2433,0.0,0.0,0.0
5,CE,242516,0.0,3496,0.0,0.0,0.0,1757,1388075856.0,179893756.0,290118,3989502,2283,0.0,0.0,0.0
6,DF,635284,0.0,8056,0.0,0.0,0.0,1757,458320736.0,100106088.0,193157,1741100,584,0.0,0.0,0.0
7,ES,427348,0.0,4864,0.0,0.0,0.0,1757,610834800.0,145624078.0,424484,2137428,1084,0.0,0.0,0.0
8,GO,612180,0.0,7904,0.0,0.0,0.0,1757,1066789808.0,182059309.0,427264,3928532,1983,0.0,0.0,0.0
9,MA,196308,0.0,3192,0.0,0.0,0.0,1757,1075427512.0,62749426.0,67786,1631901,512,0.0,0.0,0.0
10,MG,404244,0.0,4712,0.0,0.0,0.0,1757,3217656232.0,468776638.0,1198515,9072699,4920,0.0,0.0,0.0
11,MS,565972,0.0,7600,0.0,0.0,0.0,1757,422405872.0,74109538.0,154678,1563040,841,0.0,0.0,0.0
12,MT,589076,0.0,7752,0.0,0.0,0.0,1757,529638832.0,103983754.0,179339,2187262,841,0.0,0.0,0.0
13,PA,126996,0.0,2280,0.0,0.0,0.0,1757,1307635480.0,109260453.0,149498,2715473,1285,0.0,0.0,0.0
14,PB,288724,0.0,3800,0.0,0.0,0.0,1757,610755304.0,85435301.0,141214,1524685,624,0.0,0.0,0.0
15,PE,311828,0.0,3952,0.0,0.0,0.0,1757,1452674792.0,126170006.0,292356,3218835,1280,0.0,0.0,0.0
16,PI,219412,0.0,3344,0.0,0.0,0.0,1757,497530504.0,54739806.0,33657,1156417,471,0.0,0.0,0.0
17,PR,496660,0.0,6232,0.0,0.0,0.0,1757,1737961464.0,341947471.0,935499,6437981,2462,0.0,0.0,0.0
18,RJ,450452,0.0,5016,0.0,0.0,0.0,1757,2624271336.0,296449639.0,845423,10935363,4363,0.0,0.0,0.0
19,RN,265620,0.0,3648,0.0,0.0,0.0,1757,533041656.0,71495924.0,119542,1215641,636,0.0,0.0,0.0
20,RO,34580,0.0,1672,0.0,0.0,0.0,1757,270138200.0,55755990.0,119674,1072618,485,0.0,0.0,0.0
21,RR,103892,0.0,2128,0.0,0.0,0.0,1757,92075672.0,22755306.0,26709,323401,74,0.0,0.0,0.0
22,RS,542868,0.0,6536,0.0,0.0,0.0,1757,1729340328.0,321407506.0,934141,5825888,3121,0.0,0.0,0.0
23,SC,519764,0.0,6384,0.0,0.0,0.0,1757,1089047776.0,241261732.0,500322,3236689,1672,0.0,0.0,0.0
24,SE,358036,0.0,4256,0.0,0.0,0.0,1757,349401792.0,47796547.0,48944,949295,291,0.0,0.0,0.0
25,SP,473556,0.0,5320,0.0,0.0,0.0,1757,6979695448.0,770103963.0,1064182,24952831,14126,0.0,0.0,0.0
26,TO,173204,0.0,2584,0.0,0.0,0.0,1757,239075632.0,43986962.0,70955,622097,218,0.0,0.0,0.0
